n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,500,exp_01,Cepo,0.3569999999999993
3,20000,500,exp_01,Cepo1000,364.12
3,20000,500,exp_01,Voom,26.538999999999987
3,20000,500,exp_01,MAST,944.9490000000001
3,20000,500,exp_01,DD,50.25399999999945
3,20000,500,exp_01,Limma,3.2730000000000246
3,20000,500,exp_01,Wilcox,227.70799999999997
3,20000,500,exp_01,Ttest,14.985000000000014
3,20000,500,exp_01,M3Drop,53.90599999999995
3,20000,500,exp_01,edgeR,412.9820000000001
3,20000,500,exp_01,LR,730.7060000000001
3,20000,500,exp_01,bimod,394.53499999999985
3,20000,500,exp_01,ROC,820.2350000000001
3,20000,500,exp_02,Cepo,0.35199999999999676
3,20000,500,exp_02,Cepo1000,352.886
3,20000,500,exp_02,Voom,25.959000000000003
3,20000,500,exp_02,MAST,929.4290000000001
3,20000,500,exp_02,DD,48.52399999999989
3,20000,500,exp_02,Limma,3.2590000000000146
3,20000,500,exp_02,Wilcox,228.13100000000003
3,20000,500,exp_02,Ttest,16.134000000000015
3,20000,500,exp_02,M3Drop,58.02499999999998
3,20000,500,exp_02,edgeR,411.332
3,20000,500,exp_02,LR,696.972
3,20000,500,exp_02,bimod,406.66700000000014
3,20000,500,exp_02,ROC,848.8209999999999
3,20000,500,exp_03,Cepo,0.4410000000000025
3,20000,500,exp_03,Cepo1000,431.358
3,20000,500,exp_03,Voom,25.34200000000004
3,20000,500,exp_03,MAST,912.5149999999994
3,20000,500,exp_03,DD,43.63000000000011
3,20000,500,exp_03,Limma,3.3590000000000373
3,20000,500,exp_03,Wilcox,231.37
3,20000,500,exp_03,Ttest,16.557999999999993
3,20000,500,exp_03,M3Drop,56.33000000000004
3,20000,500,exp_03,edgeR,420.3169999999999
3,20000,500,exp_03,LR,762.6379999999999
3,20000,500,exp_03,bimod,500.9430000000002
3,20000,500,exp_03,ROC,883.7470000000003
3,20000,500,exp_04,Cepo,0.4270000000000067
3,20000,500,exp_04,Cepo1000,355.369
3,20000,500,exp_04,Voom,25.406000000000006
3,20000,500,exp_04,MAST,946.7780000000002
3,20000,500,exp_04,DD,53.72600000000011
3,20000,500,exp_04,Limma,3.4139999999999873
3,20000,500,exp_04,Wilcox,228.95199999999994
3,20000,500,exp_04,Ttest,17.001999999999953
3,20000,500,exp_04,M3Drop,54.57499999999993
3,20000,500,exp_04,edgeR,414.102
3,20000,500,exp_04,LR,750.462
3,20000,500,exp_04,bimod,428.0909999999999
3,20000,500,exp_04,ROC,663.9009999999998
3,20000,500,exp_05,Cepo,0.4420000000000073
3,20000,500,exp_05,Cepo1000,386.424
3,20000,500,exp_05,Voom,26.02600000000001
3,20000,500,exp_05,MAST,741.8420000000001
3,20000,500,exp_05,DD,43.016999999999825
3,20000,500,exp_05,Limma,3.361000000000047
3,20000,500,exp_05,Wilcox,229.127
3,20000,500,exp_05,Ttest,16.103999999999928
3,20000,500,exp_05,M3Drop,57.99400000000003
3,20000,500,exp_05,edgeR,413.7919999999999
3,20000,500,exp_05,LR,776.6860000000001
3,20000,500,exp_05,bimod,499.422
3,20000,500,exp_05,ROC,829.0459999999998
3,20000,500,exp_06,Cepo,0.382000000000005
3,20000,500,exp_06,Cepo1000,397.702
3,20000,500,exp_06,Voom,29.48300000000006
3,20000,500,exp_06,MAST,857.6790000000001
3,20000,500,exp_06,DD,48.98299999999972
3,20000,500,exp_06,Limma,4.125
3,20000,500,exp_06,Wilcox,228.687
3,20000,500,exp_06,Ttest,14.37600000000009
3,20000,500,exp_06,M3Drop,54.19799999999998
3,20000,500,exp_06,edgeR,407.462
3,20000,500,exp_06,LR,742.6299999999999
3,20000,500,exp_06,bimod,406.299
3,20000,500,exp_06,ROC,819.4569999999999
3,20000,500,exp_07,Cepo,0.39099999999999113
3,20000,500,exp_07,Cepo1000,363.09200000000004
3,20000,500,exp_07,Voom,25.887
3,20000,500,exp_07,MAST,836.6700000000001
3,20000,500,exp_07,DD,46.11700000000019
3,20000,500,exp_07,Limma,3.2099999999999795
3,20000,500,exp_07,Wilcox,227.00499999999994
3,20000,500,exp_07,Ttest,17.22199999999998
3,20000,500,exp_07,M3Drop,59.597999999999956
3,20000,500,exp_07,edgeR,419.8560000000001
3,20000,500,exp_07,LR,742.0909999999999
3,20000,500,exp_07,bimod,453.08500000000026
3,20000,500,exp_07,ROC,856.3319999999999
3,20000,500,exp_08,Cepo,0.46399999999999864
3,20000,500,exp_08,Cepo1000,357.309
3,20000,500,exp_08,Voom,26.58000000000004
3,20000,500,exp_08,MAST,915.19
3,20000,500,exp_08,DD,42.26899999999932
3,20000,500,exp_08,Limma,4.168999999999983
3,20000,500,exp_08,Wilcox,234.12599999999998
3,20000,500,exp_08,Ttest,16.312000000000012
3,20000,500,exp_08,M3Drop,53.726
3,20000,500,exp_08,edgeR,413.28700000000003
3,20000,500,exp_08,LR,687.1299999999999
3,20000,500,exp_08,bimod,472.914
3,20000,500,exp_08,ROC,853.2479999999996
3,20000,500,exp_09,Cepo,0.4860000000000042
3,20000,500,exp_09,Cepo1000,432.986
3,20000,500,exp_09,Voom,29.569000000000074
3,20000,500,exp_09,MAST,875.685
3,20000,500,exp_09,DD,46.10100000000011
3,20000,500,exp_09,Limma,3.990000000000009
3,20000,500,exp_09,Wilcox,223.44600000000003
3,20000,500,exp_09,Ttest,16.133000000000038
3,20000,500,exp_09,M3Drop,53.30499999999995
3,20000,500,exp_09,edgeR,403.79999999999995
3,20000,500,exp_09,LR,607.0909999999999
3,20000,500,exp_09,bimod,439.6379999999999
3,20000,500,exp_09,ROC,881.3050000000003
3,20000,500,exp_10,Cepo,0.4939999999999998
3,20000,500,exp_10,Cepo1000,413.22799999999995
3,20000,500,exp_10,Voom,25.670000000000073
3,20000,500,exp_10,MAST,789.1640000000002
3,20000,500,exp_10,DD,47.89700000000039
3,20000,500,exp_10,Limma,3.98599999999999
3,20000,500,exp_10,Wilcox,231.9290000000001
3,20000,500,exp_10,Ttest,16.084999999999923
3,20000,500,exp_10,M3Drop,53.75800000000004
3,20000,500,exp_10,edgeR,421.1740000000001
3,20000,500,exp_10,LR,686.502
3,20000,500,exp_10,bimod,407.0730000000001
3,20000,500,exp_10,ROC,829.7640000000001
3,20000,1000,exp_01,Cepo,0.6100000000005821
3,20000,1000,exp_01,Cepo1000,732.6369999999997
3,20000,1000,exp_01,Voom,54.012000000000626
3,20000,1000,exp_01,MAST,1147.4580000000005
3,20000,1000,exp_01,DD,59.064000000000306
3,20000,1000,exp_01,Limma,6.346000000000458
3,20000,1000,exp_01,Wilcox,401.8739999999998
3,20000,1000,exp_01,Ttest,19.734999999999673
3,20000,1000,exp_01,M3Drop,75.99099999999999
3,20000,1000,exp_01,edgeR,834.8000000000002
3,20000,1000,exp_01,LR,1251.7469999999994
3,20000,1000,exp_01,bimod,1262.63
3,20000,1000,exp_01,ROC,1637.7119999999995
3,20000,1000,exp_02,Cepo,0.5799999999999272
3,20000,1000,exp_02,Cepo1000,788.2240000000002
3,20000,1000,exp_02,Voom,54.875999999999294
3,20000,1000,exp_02,MAST,1105.2029999999995
3,20000,1000,exp_02,DD,58.509000000000015
3,20000,1000,exp_02,Limma,7.261999999999716
3,20000,1000,exp_02,Wilcox,409.0479999999998
3,20000,1000,exp_02,Ttest,21.506000000000313
3,20000,1000,exp_02,M3Drop,76.67500000000018
3,20000,1000,exp_02,edgeR,840.0520000000006
3,20000,1000,exp_02,LR,1151.8090000000002
3,20000,1000,exp_02,bimod,1439.4540000000006
3,20000,1000,exp_02,ROC,1686.8829999999998
3,20000,1000,exp_03,Cepo,0.5850000000000364
3,20000,1000,exp_03,Cepo1000,646.9180000000006
3,20000,1000,exp_03,Voom,46.72599999999966
3,20000,1000,exp_03,MAST,1360.5110000000004
3,20000,1000,exp_03,DD,56.2559999999994
3,20000,1000,exp_03,Limma,6.550000000000182
3,20000,1000,exp_03,Wilcox,392.2999999999993
3,20000,1000,exp_03,Ttest,17.30500000000029
3,20000,1000,exp_03,M3Drop,68.55400000000009
3,20000,1000,exp_03,edgeR,840.8710000000001
3,20000,1000,exp_03,LR,1128.2339999999995
3,20000,1000,exp_03,bimod,959.7830000000004
3,20000,1000,exp_03,ROC,1473.6720000000005
3,20000,1000,exp_04,Cepo,0.6130000000002838
3,20000,1000,exp_04,Cepo1000,731.9790000000003
3,20000,1000,exp_04,Voom,55.409999999999854
3,20000,1000,exp_04,MAST,1277.0750000000007
3,20000,1000,exp_04,DD,62.52299999999923
3,20000,1000,exp_04,Limma,6.322000000000116
3,20000,1000,exp_04,Wilcox,410.049
3,20000,1000,exp_04,Ttest,21.425000000000182
3,20000,1000,exp_04,M3Drop,80.04799999999977
3,20000,1000,exp_04,edgeR,846.393
3,20000,1000,exp_04,LR,1103.0059999999994
3,20000,1000,exp_04,bimod,1005.7960000000012
3,20000,1000,exp_04,ROC,1643.208999999999
3,20000,1000,exp_05,Cepo,0.46300000000064756
3,20000,1000,exp_05,Cepo1000,717.0839999999998
3,20000,1000,exp_05,Voom,53.38600000000042
3,20000,1000,exp_05,MAST,1237.7800000000007
3,20000,1000,exp_05,DD,58.324000000000524
3,20000,1000,exp_05,Limma,8.079999999999927
3,20000,1000,exp_05,Wilcox,401.375
3,20000,1000,exp_05,Ttest,20.17699999999968
3,20000,1000,exp_05,M3Drop,73.53499999999985
3,20000,1000,exp_05,edgeR,847.5300000000007
3,20000,1000,exp_05,LR,1228.4989999999998
3,20000,1000,exp_05,bimod,987.3750000000009
3,20000,1000,exp_05,ROC,1605.3850000000002
3,20000,1000,exp_06,Cepo,0.6599999999998545
3,20000,1000,exp_06,Cepo1000,711.5929999999998
3,20000,1000,exp_06,Voom,53.44799999999941
3,20000,1000,exp_06,MAST,1178.9830000000002
3,20000,1000,exp_06,DD,63.39000000000124
3,20000,1000,exp_06,Limma,7.208999999999833
3,20000,1000,exp_06,Wilcox,409.22299999999996
3,20000,1000,exp_06,Ttest,21.6279999999997
3,20000,1000,exp_06,M3Drop,78.92199999999957
3,20000,1000,exp_06,edgeR,843.5600000000004
3,20000,1000,exp_06,LR,1137.3020000000006
3,20000,1000,exp_06,bimod,1495.1840000000002
3,20000,1000,exp_06,ROC,1591.7689999999984
3,20000,1000,exp_07,Cepo,0.6440000000002328
3,20000,1000,exp_07,Cepo1000,658.8209999999999
3,20000,1000,exp_07,Voom,47.7519999999995
3,20000,1000,exp_07,MAST,1197.9359999999997
3,20000,1000,exp_07,DD,62.548000000000684
3,20000,1000,exp_07,Limma,7.293999999999869
3,20000,1000,exp_07,Wilcox,395.174
3,20000,1000,exp_07,Ttest,18.81800000000021
3,20000,1000,exp_07,M3Drop,71.4369999999999
3,20000,1000,exp_07,edgeR,840.5990000000002
3,20000,1000,exp_07,LR,1204.2089999999998
3,20000,1000,exp_07,bimod,985.3820000000005
3,20000,1000,exp_07,ROC,1388.7200000000012
3,20000,1000,exp_08,Cepo,0.5559999999995853
3,20000,1000,exp_08,Cepo1000,710.357
3,20000,1000,exp_08,Voom,53.51899999999932
3,20000,1000,exp_08,MAST,1100.259
